Fecha de esterilización;Codigo Departamento;Departamento;Codigo Municipio;Municipio;Latitud;Longitud;Lugar del Municipio ;Sexo;Tipo de Animal;Total Esterizaciones
7/11/2024;76;Valle del Cauca;76670;San Pedro;39.961.411.896.037.800;-7.622.749.914.777.300;Alcaldía;Machos;Felinos;6
13/11/2024;76;Valle del Cauca;76130;Villagorgona;3.409.347.509.461.260;-7.634.781.797.045.050;Belo Horizonte;Hembras;Canino;15
13/11/2024;76;Valle del Cauca;76130;Villagorgona;3.409.347.509.461.260;-7.634.781.797.045.050;Belo Horizonte;Machos;Canino;19
13/11/2024;76;Valle del Cauca;76130;Villagorgona;3.409.347.509.461.260;-7.634.781.797.045.050;Belo Horizonte;Hembras;Felinos;11
13/11/2024;76;Valle del Cauca;76130;Villagorgona;3.409.347.509.461.260;-7.634.781.797.045.050;Belo Horizonte;Machos;Felinos;6
14/11/2024;76;Valle del Cauca;76109;Cisneros;38.881.255.623.730.300;-770.772.024.784.535;Cisneros;Hembras;Canino;15
14/11/2024;76;Valle del Cauca;76109;Cisneros;38.881.255.623.730.300;-770.772.024.784.535;Cisneros;Machos;Canino;4
14/11/2024;76;Valle del Cauca;76109;Cisneros;38.881.255.623.730.300;-770.772.024.784.535;Cisneros;Hembras;Felinos;11
14/11/2024;76;Valle del Cauca;76109;Cisneros;38.881.255.623.730.300;-770.772.024.784.535;Cisneros;Machos;Felinos;12
15/11/2024;76;Valle del Cauca;76895;Zarzal;439.507.765.759.807;-7.607.073.861.893.540;Casa de la Cultura;Hembras;Canino;23
15/11/2024;76;Valle del Cauca;76895;Zarzal;439.507.765.759.807;-7.607.073.861.893.540;Casa de la Cultura;Machos;Canino;10
15/11/2024;76;Valle del Cauca;76895;Zarzal;439.507.765.759.807;-7.607.073.861.893.540;Casa de la Cultura;Hembras;Felinos;15
15/11/2024;76;Valle del Cauca;76895;Zarzal;439.507.765.759.807;-7.607.073.861.893.540;Casa de la Cultura;Machos;Felinos;5
16/11/2024;76;Valle del Cauca;76111;Buga;3.899.599.152.031.170;-7.630.070.483.427.850;Parque Alto Bonito;Hembras;Canino;22
16/11/2024;76;Valle del Cauca;76111;Buga;3.899.599.152.031.170;-7.630.070.483.427.850;Parque Alto Bonito;Machos;Canino;7
16/11/2024;76;Valle del Cauca;76111;Buga;3.899.599.152.031.170;-7.630.070.483.427.850;Parque Alto Bonito;Hembras;Felinos;12
16/11/2024;76;Valle del Cauca;76111;Buga;3.899.599.152.031.170;-7.630.070.483.427.850;Parque Alto Bonito;Machos;Felinos;14
20/11/2024;76;Valle del Cauca;76243;El Águila;4.908.800.537.350.220;-7.604.191.657.660.150;Parque Principal;Hembras;Canino;18
20/11/2024;76;Valle del Cauca;76243;El Águila;4.908.800.537.350.220;-7.604.191.657.660.150;Parque Principal;Machos;Canino;11
20/11/2024;76;Valle del Cauca;76243;El Águila;4.908.800.537.350.220;-7.604.191.657.660.150;Parque Principal;Hembras;Felinos;12
20/11/2024;76;Valle del Cauca;76243;El Águila;4.908.800.537.350.220;-7.604.191.657.660.150;Parque Principal;Machos;Felinos;5
21/11/2024;76;Valle del Cauca;76243;El Águila;4.908.800.537.350.220;-7.604.191.657.660.150;Parque Principal;Hembras;Canino;15
21/11/2024;76;Valle del Cauca;76243;El Águila;4.908.800.537.350.220;-7.604.191.657.660.150;Parque Principal;Machos;Canino;7
21/11/2024;76;Valle del Cauca;76243;El Águila;4.908.800.537.350.220;-7.604.191.657.660.150;Parque Principal;Hembras;Felinos;8
21/11/2024;76;Valle del Cauca;76243;El Águila;4.908.800.537.350.220;-7.604.191.657.660.150;Parque Principal;Machos;Felinos;12
22/11/2024;76;Valle del Cauca;76041;Ansermanuevo;4.796.283.055.465.210;-7.599.396.854.961.230;Coliseo parque;Hembras;Canino;20
22/11/2024;76;Valle del Cauca;76041;Ansermanuevo;4.796.283.055.465.210;-7.599.396.854.961.230;Coliseo parque;Machos;Canino;11
22/11/2024;76;Valle del Cauca;76041;Ansermanuevo;4.796.283.055.465.210;-7.599.396.854.961.230;Coliseo parque;Hembras;Felinos;13
22/11/2024;76;Valle del Cauca;76041;Ansermanuevo;4.796.283.055.465.210;-7.599.396.854.961.230;Coliseo parque;Machos;Felinos;13
26/11/2024;76;Valle del Cauca;76869;Vijes;37.011.595.900.967.800;-7.644.252.712.078.460;Parque Principal;Hembras;Canino;20
26/11/2024;76;Valle del Cauca;76869;Vijes;37.011.595.900.967.800;-7.644.252.712.078.460;Parque Principal;Machos;Canino;10
26/11/2024;76;Valle del Cauca;76869;Vijes;37.011.595.900.967.800;-7.644.252.712.078.460;Parque Principal;Hembras;Felinos;9
26/11/2024;76;Valle del Cauca;76869;Vijes;37.011.595.900.967.800;-7.644.252.712.078.460;Parque Principal;Machos;Felinos;5
27/11/2024;76;Valle del Cauca;76377;La Cumbre;3.648.464.874.337.450;-7.656.748.520.544.500;Parque Principal;Hembras;Canino;10
27/11/2024;76;Valle del Cauca;76377;La Cumbre;3.648.464.874.337.450;-7.656.748.520.544.500;Parque Principal;Machos;Canino;11
27/11/2024;76;Valle del Cauca;76377;La Cumbre;3.648.464.874.337.450;-7.656.748.520.544.500;Parque Principal;Hembras;Felinos;8
27/11/2024;76;Valle del Cauca;76377;La Cumbre;3.648.464.874.337.450;-7.656.748.520.544.500;Parque Principal;Machos;Felinos;4
28/11/2024;76;Valle del Cauca;76248;El Cerrito;36.846.192.028.393.900;-7.631.246.027.476.510;Coliseo CIC;Hembras;Canino;18
28/11/2024;76;Valle del Cauca;76248;El Cerrito;36.846.192.028.393.900;-7.631.246.027.476.510;Coliseo CIC;Machos;Canino;6
28/11/2024;76;Valle del Cauca;76248;El Cerrito;36.846.192.028.393.900;-7.631.246.027.476.510;Coliseo CIC;Hembras;Felinos;6
28/11/2024;76;Valle del Cauca;76248;El Cerrito;36.846.192.028.393.900;-7.631.246.027.476.510;Coliseo CIC;Machos;Felinos;18
29/11/2024;76;Valle del Cauca;76520;Palmira;35.269.643.156.692.700;-7.630.005.207.661.070;Parque Bosque Municipal;Hembras;Canino;11
29/11/2024;76;Valle del Cauca;76520;Palmira;35.269.643.156.692.700;-7.630.005.207.661.070;Parque Bosque Municipal;Machos;Canino;8
29/11/2024;76;Valle del Cauca;76520;Palmira;35.269.643.156.692.700;-7.630.005.207.661.070;Parque Bosque Municipal;Hembras;Felinos;9
29/11/2024;76;Valle del Cauca;76520;Palmira;35.269.643.156.692.700;-7.630.005.207.661.070;Parque Bosque Municipal;Machos;Felinos;4
4/12/2024;76;Valle del Cauca;76020;Alcalá;4.675.083.171.850.430;-7.578.197.692.077.820;Estación de Policía;Hembras;Canino;25
4/12/2024;76;Valle del Cauca;76020;Alcalá;4.675.083.171.850.430;-7.578.197.692.077.820;Estación de Policía;Machos;Canino;15
4/12/2024;76;Valle del Cauca;76020;Alcalá;4.675.083.171.850.430;-7.578.197.692.077.820;Estación de Policía;Hembras;Felinos;5
4/12/2024;76;Valle del Cauca;76020;Alcalá;4.675.083.171.850.430;-7.578.197.692.077.820;Estación de Policía;Machos;Felinos;5
5/12/2024;76;Valle del Cauca;76111;Buga;3.899.599.152.031.170;-7.630.070.483.427.850;Parque Bosque Municipal;Hembras;Canino;20
5/12/2024;76;Valle del Cauca;76111;Buga;3.899.599.152.031.170;-7.630.070.483.427.850;Parque Bosque Municipal;Machos;Canino;12
5/12/2024;76;Valle del Cauca;76111;Buga;3.899.599.152.031.170;-7.630.070.483.427.850;Parque Bosque Municipal;Hembras;Felinos;5
5/12/2024;76;Valle del Cauca;76111;Buga;3.899.599.152.031.170;-7.630.070.483.427.850;Parque Bosque Municipal;Machos;Felinos;13
10/12/2024;76;Valle del Cauca;76616;Riofrio;4.155.627.607.157.360;-762.871.873.882.573;Parque Principal;Hembras;Canino;12
10/12/2024;76;Valle del Cauca;76616;Riofrio;4.155.627.607.157.360;-762.871.873.882.573;Parque Principal;Machos;Canino;8
10/12/2024;76;Valle del Cauca;76616;Riofrio;4.155.627.607.157.360;-762.871.873.882.573;Parque Principal;Hembras;Felinos;13
10/12/2024;76;Valle del Cauca;76616;Riofrio;4.155.627.607.157.360;-762.871.873.882.573;Parque Principal;Machos;Felinos;10
11/12/2024;76;Valle del Cauca;76036;Andalucía;4.168.989.102.976.250;-761.668.151.477.719;Sacúdete;Hembras;Canino;10
11/12/2024;76;Valle del Cauca;76036;Andalucía;4.168.989.102.976.250;-761.668.151.477.719;Sacúdete;Machos;Canino;8
11/12/2024;76;Valle del Cauca;76036;Andalucía;4.168.989.102.976.250;-761.668.151.477.719;Sacúdete;Hembras;Felinos;14
